-12.0 	 -12.0 	 0.000
-12.0 	 -11.5 	 0.000
-12.0 	 -11.0 	 0.000
-12.0 	 -10.5 	 0.000
-12.0 	 -10.0 	 0.000
-12.0 	 -9.5 	 0.000
-12.0 	 -9.0 	 0.000
-12.0 	 -8.5 	 0.000
-12.0 	 -8.0 	 0.000
-12.0 	 -7.5 	 0.000
-12.0 	 -7.0 	 0.000
-12.0 	 -6.5 	 0.000
-12.0 	 -6.0 	 0.000
-12.0 	 -5.5 	 0.000
-12.0 	 -5.0 	 0.000
-12.0 	 -4.5 	 0.000
-12.0 	 -4.0 	 0.000
-12.0 	 -3.5 	 0.000
-12.0 	 -3.0 	 0.000
-12.0 	 -2.5 	 0.000
-12.0 	 -2.0 	 0.000
-12.0 	 -1.5 	 0.000
-12.0 	 -1.0 	 0.000
-12.0 	 -0.5 	 0.000
-12.0 	  0.0 	 0.000
-12.0 	  0.5 	 0.000
-12.0 	  1.0 	 0.000
-12.0 	  1.5 	 0.000
-12.0 	  2.0 	 0.000
-12.0 	  2.5 	 0.000
-12.0 	  3.0 	 0.000
-12.0 	  3.5 	 0.000
-12.0 	  4.0 	 0.000
-12.0 	  4.5 	 0.000
-12.0 	  5.0 	 0.000
-12.0 	  5.5 	 0.000
-12.0 	  6.0 	 0.000
-12.0 	  6.5 	 0.000
-12.0 	  7.0 	 0.000
-12.0 	  7.5 	 0.000
-12.0 	  8.0 	 0.000
-12.0 	  8.5 	 0.000
-12.0 	  9.0 	 0.000
-12.0 	  9.5 	 0.000
-12.0 	 10.0 	 0.000
-12.0 	 10.5 	 0.000
-12.0 	 11.0 	 0.000
-12.0 	 11.5 	 0.000
-12.0 	 12.0 	 0.000

-11.5 	 -12.0 	 0.000
-11.5 	 -11.5 	 0.000
-11.5 	 -11.0 	 0.000
-11.5 	 -10.5 	 0.000
-11.5 	 -10.0 	 0.000
-11.5 	 -9.5 	 0.000
-11.5 	 -9.0 	 0.000
-11.5 	 -8.5 	 0.000
-11.5 	 -8.0 	 0.000
-11.5 	 -7.5 	 0.000
-11.5 	 -7.0 	 0.000
-11.5 	 -6.5 	 0.000
-11.5 	 -6.0 	 0.000
-11.5 	 -5.5 	 0.000
-11.5 	 -5.0 	 0.000
-11.5 	 -4.5 	 0.000
-11.5 	 -4.0 	 0.000
-11.5 	 -3.5 	 0.000
-11.5 	 -3.0 	 0.000
-11.5 	 -2.5 	 0.000
-11.5 	 -2.0 	 0.000
-11.5 	 -1.5 	 0.000
-11.5 	 -1.0 	 0.000
-11.5 	 -0.5 	 0.000
-11.5 	  0.0 	 0.000
-11.5 	  0.5 	 0.000
-11.5 	  1.0 	 0.000
